original_id,item_idx
1008,0
1013,1
1055,2
1059,3
1066,4
113,5
1134,6
1154,7
1157,8
117,9
1176,10
1178,11
1189,12
1200,13
1223,14
1234,15
1241,16
1245,17
1277,18
1306,19
1310,20
1316,21
1318,22
1338,23
134,24
1345,25
1424,26
1429,27
1437,28
1439,29
1456,30
1461,31
1506,32
1521,33
1524,34
1535,35
1544,36
1546,37
156,38
1576,39
1579,40
1591,41
1597,42
1604,43
1624,44
1658,45
1664,46
1670,47
1672,48
1674,49
1694,50
17,51
1703,52
1704,53
1706,54
1788,55
1792,56
1811,57
1813,58
182,59
1837,60
1840,61
1852,62
187,63
1874,64
1892,65
1907,66
1930,67
1976,68
1977,69
1990,70
20,71
2028,72
2043,73
2080,74
2102,75
2114,76
2116,77
2120,78
2122,79
2145,80
2159,81
2165,82
2166,83
217,84
2171,85
2173,86
219,87
2191,88
2204,89
2236,90
2239,91
2246,92
2266,93
2281,94
2337,95
234,96
2381,97
2385,98
2387,99
2417,100
2422,101
2434,102
2439,103
247,104
2497,105
2529,106
253,107
2549,108
2552,109
2595,110
2597,111
2612,112
2619,113
2629,114
2665,115
2667,116
2697,117
2710,118
2725,119
2740,120
2757,121
278,122
2800,123
2806,124
281,125
2816,126
2821,127
284,128
2848,129
2888,130
2909,131
2912,132
2927,133
2930,134
2934,135
2942,136
2986,137
3016,138
3018,139
3031,140
3032,141
306,142
3064,143
3070,144
3077,145
3100,146
3102,147
3116,148
3124,149
3128,150
3139,151
314,152
3193,153
3205,154
3218,155
3222,156
3264,157
3277,158
3278,159
3281,160
3296,161
3298,162
3324,163
3327,164
3345,165
3360,166
3382,167
3385,168
3393,169
3401,170
3402,171
3415,172
345,173
3452,174
3454,175
3458,176
3462,177
3477,178
3496,179
3511,180
3523,181
3536,182
3553,183
3559,184
3589,185
359,186
3602,187
3613,188
3677,189
3687,190
3688,191
3689,192
3705,193
3708,194
3709,195
3720,196
3724,197
3730,198
3793,199
3843,200
3844,201
3861,202
3898,203
3909,204
3921,205
3938,206
3952,207
3977,208
3991,209
3994,210
4,211
4009,212
4028,213
4039,214
4045,215
4060,216
4063,217
4070,218
4080,219
4106,220
4107,221
4109,222
411,223
4118,224
4131,225
4135,226
4190,227
4192,228
4194,229
423,230
4245,231
4255,232
4257,233
4264,234
4329,235
4340,236
4389,237
4407,238
4471,239
4478,240
449,241
4511,242
4537,243
4538,244
455,245
4566,246
4572,247
4576,248
4595,249
461,250
4627,251
4658,252
4660,253
4671,254
4691,255
4728,256
4778,257
4810,258
4840,259
4847,260
4856,261
4874,262
488,263
4922,264
4931,265
4956,266
4961,267
4976,268
4989,269
4990,270
519,271
520,272
536,273
550,274
578,275
589,276
629,277
643,278
664,279
674,280
680,281
693,282
701,283
706,284
757,285
760,286
766,287
779,288
790,289
794,290
800,291
806,292
83,293
851,294
854,295
924,296
946,297
958,298
960,299
